"","class","gene_id","Function.classification","function.","note.location","gene_name","Description","fc","log2.fc.","pval","qval","regulation","GO","KEGG","KO_ENTRY","EC","significant"
"4","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000003430","hypoxia"," a glycoprotein hormone in response to oxygen levels. increased erythropoiesis and enhanced oxygen-carrying capacity of the blood.","","EPO","erythropoietin ",2234.95,11.13,0,0,"up","GO:0000122(negative regulation of transcription by RNA polymerase II);GO:0001666(response to hypoxia);GO:0005125(cytokine activity);GO:0005128(erythropoietin receptor binding);GO:0005179(hormone activity);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0006357(regulation of transcription by RNA polymerase II);GO:0006915(apoptotic process);GO:0007566(embryo implantation);GO:0008283(cell population proliferation);GO:0008284(positive regulation of cell population proliferation);GO:0009986(cell surface);GO:0010469(regulation of signaling receptor activity);GO:0010523(negative regulation of calcium ion transport into cytosol);GO:0018105(peptidyl-serine phosphorylation);GO:0030218(erythrocyte differentiation);GO:0030295(protein kinase activator activity);GO:0032147(activation of protein kinase activity);GO:0033033(negative regulation of myeloid cell apoptotic process);GO:0038162(erythropoietin-mediated signaling pathway);GO:0042531(positive regulation of tyrosine phosphorylation of STAT protein);GO:0042541(hemoglobin biosynthetic process);GO:0043066(negative regulation of apoptotic process);GO:0043249(erythrocyte maturation);GO:0045860(positive regulation of protein kinase activity);GO:0045893(positive regulation of transcription, DNA-templated);GO:0046579(positive regulation of Ras protein signal transduction);GO:0071474(cellular hyperosmotic response);GO:1902219(negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress);GO:1902251(negative regulation of erythrocyte apoptotic process);GO:2001258(negative regulation of cation channel activity);GO:2001258(negative regulation of cation channel activity)","04060(Cytokine-cytokine receptor interaction);04066(HIF-1 signaling pathway);04151(PI3K-Akt signaling pathway);04630(Jak-STAT signaling pathway);04640(Hematopoietic cell lineage);05200(Pathways in cancer);05200(Pathways in cancer)","K05437",NA,"yes"
"5","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000019390","hypoxia-inducible marker"," catalyze the reversible hydration of carbon dioxide, CA12 was able to activate the mitochondrial apoptosis","","CA12","carbonic anhydrase 12 ",21.06,4.4,0,0,"up","GO:0004089(carbonate dehydratase activity);GO:0008270(zinc ion binding);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0046872(metal ion binding);GO:0055064(chloride ion homeostasis)","00910(Nitrogen metabolism)","K01672","EC:4.2.1.1","yes"
"6","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000011420","hypoxia-inducible marker"," catalyze the reversible hydration of carbon dioxide","","CA9","carbonic anhydrase 9 ",8.77,3.13,0,0,"up","GO:0002009(morphogenesis of an epithelium);GO:0004089(carbonate dehydratase activity);GO:0005886(plasma membrane);GO:0008270(zinc ion binding);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0046872(metal ion binding);GO:0046903(secretion)","00910(Nitrogen metabolism)","K01672","EC:4.2.1.1","yes"
"7","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000006261","hypoxia response","GPR17 may mediate hypoxia injury in RGC-5 cells, while the knockdown of GPR17 can reduce the hypoxia injury","","GPR17","G protein-coupled receptor 17 ",7.65,2.94,0,0,"up","GO:0002862(negative regulation of inflammatory response to antigenic stimulus);GO:0004930(G protein-coupled receptor activity);GO:0005887(integral component of plasma membrane);GO:0007165(signal transduction);GO:0007186(G protein-coupled receptor signaling pathway);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0035025(positive regulation of Rho protein signal transduction);GO:0051482(positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway)",NA,"K08404",NA,"yes"
"8","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000021434","hypoxia","","","EDN2","endothelin 2 ",7.3,2.87,0,0,"up","GO:0001516(prostaglandin biosynthetic process);GO:0001659(temperature homeostasis);GO:0002690(positive regulation of leukocyte chemotaxis);GO:0003100(regulation of systemic arterial blood pressure by endothelin);GO:0005179(hormone activity);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0005623(cell);GO:0007204(positive regulation of cytosolic calcium ion concentration);GO:0008284(positive regulation of cell population proliferation);GO:0010460(positive regulation of heart rate);GO:0010469(regulation of signaling receptor activity);GO:0014824(artery smooth muscle contraction);GO:0014826(vein smooth muscle contraction);GO:0019221(cytokine-mediated signaling pathway);GO:0019229(regulation of vasoconstriction);GO:0019722(calcium-mediated signaling);GO:0030593(neutrophil chemotaxis);GO:0031708(endothelin B receptor binding);GO:0042116(macrophage activation);GO:0042310(vasoconstriction);GO:0045987(positive regulation of smooth muscle contraction);GO:0048016(inositol phosphate-mediated signaling);GO:0048246(macrophage chemotaxis);GO:0048286(lung alveolus development);GO:0050880(regulation of blood vessel size);GO:0060585(positive regulation of prostaglandin-endoperoxide synthase activity);GO:0097009(energy homeostasis)","04024(cAMP signaling pathway);04080(Neuroactive ligand-receptor interaction);04270(Vascular smooth muscle contraction);04924(Renin secretion)","K16367",NA,"yes"
"13","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000007273","iron transport/hypoxia response","iron transport/hypoxia response","","TF","transferrin ",4.52,2.18,0.03,0.07,"up","GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0005769(early endosome);GO:0005770(late endosome);GO:0005905(clathrin-coated pit);GO:0006826(iron ion transport);GO:0006879(cellular iron ion homeostasis);GO:0008198(ferrous iron binding);GO:0008199(ferric iron binding);GO:0009925(basal plasma membrane);GO:0009986(cell surface);GO:0015091(ferric iron transmembrane transporter activity);GO:0016324(apical plasma membrane);GO:0030139(endocytic vesicle);GO:0031232(extrinsic component of external side of plasma membrane);GO:0031410(cytoplasmic vesicle);GO:0031982(vesicle);GO:0034755(iron ion transmembrane transport);GO:0034756(regulation of iron ion transport);GO:0034986(iron chaperone activity);GO:0045178(basal part of cell);GO:0048260(positive regulation of receptor-mediated endocytosis);GO:0048471(perinuclear region of cytoplasm);GO:0055037(recycling endosome);GO:0071281(cellular response to iron ion);GO:0072512(trivalent inorganic cation transport);GO:1990459(transferrin receptor binding);GO:1990712(HFE-transferrin receptor complex)","04066(HIF-1 signaling pathway);04216(Ferroptosis);04978(Mineral absorption)","K14736",NA,"yes"
"14","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000008756","hypoxia response","hypoxia response, angiogenesis","","ELF3","E74 like ETS transcription factor 3 ",2.97,1.57,0,0,"up","GO:0000978(RNA polymerase II proximal promoter sequence-specific DNA binding);GO:0000981(DNA-binding transcription factor activity, RNA polymerase II-specific);GO:0001228(DNA-binding transcription activator activity, RNA polymerase II-specific);GO:0001824(blastocyst development);GO:0003677(DNA binding);GO:0003700(DNA-binding transcription factor activity);GO:0003713(transcription coactivator activity);GO:0005634(nucleus);GO:0005654(nucleoplasm);GO:0005794(Golgi apparatus);GO:0005829(cytosol);GO:0006355(regulation of transcription, DNA-templated);GO:0006357(regulation of transcription by RNA polymerase II);GO:0006366(transcription by RNA polymerase II);GO:0006954(inflammatory response);GO:0009653(anatomical structure morphogenesis);GO:0030154(cell differentiation);GO:0030198(extracellular matrix organization);GO:0030855(epithelial cell differentiation);GO:0043565(sequence-specific DNA binding);GO:0045892(negative regulation of transcription, DNA-templated);GO:0045893(positive regulation of transcription, DNA-templated);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:0060056(mammary gland involution)",NA,"K09429",NA,"yes"
"16","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000010273","hypoxia"," regulating angiogenesis and vascular remodeling and by stimulating cell proliferation","","EREG","epiregulin ",0.39,-1.37,0,0,"down","GO:0001819(positive regulation of cytokine production);GO:0005154(epidermal growth factor receptor binding);GO:0005615(extracellular space);GO:0007173(epidermal growth factor receptor signaling pathway);GO:0007267(cell-cell signaling);GO:0008083(growth factor activity);GO:0008284(positive regulation of cell population proliferation);GO:0008285(negative regulation of cell population proliferation);GO:0009299(mRNA transcription);GO:0010469(regulation of signaling receptor activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0019221(cytokine-mediated signaling pathway);GO:0042108(positive regulation of cytokine biosynthetic process);GO:0042327(positive regulation of phosphorylation);GO:0043616(keratinocyte proliferation);GO:0045089(positive regulation of innate immune response);GO:0045410(positive regulation of interleukin-6 biosynthetic process);GO:0045740(positive regulation of DNA replication);GO:0045840(positive regulation of mitotic nuclear division);GO:0045860(positive regulation of protein kinase activity);GO:0045892(negative regulation of transcription, DNA-templated);GO:0048146(positive regulation of fibroblast proliferation);GO:0051151(negative regulation of smooth muscle cell differentiation)","04010(MAPK signaling pathway);04012(ErbB signaling pathway);04151(PI3K-Akt signaling pathway);05210(Colorectal cancer)","K09784",NA,"yes"
"17","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000004221","hypoxia","Involved in angiogenesis; promotes angiogenic sprouting. ","","ESM1","endothelial cell specific molecule 1 ",0.33,-1.61,0,0,"down","GO:0001525(angiogenesis);GO:0002040(sprouting angiogenesis);GO:0005171(hepatocyte growth factor receptor binding);GO:0005178(integrin binding);GO:0005520(insulin-like growth factor binding);GO:0005576(extracellular region);GO:0008284(positive regulation of cell population proliferation);GO:1902204(positive regulation of hepatocyte growth factor receptor signaling pathway)",NA,NA,NA,"yes"
"18","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000002362","angiogenesis."," angiogenesis.","","APOLD1","apolipoprotein L domain containing 1 ",2.69,1.43,0,0,"up","GO:0001525(angiogenesis);GO:0005576(extracellular region);GO:0005654(nucleoplasm);GO:0005829(cytosol);GO:0006869(lipid transport);GO:0008289(lipid binding);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0042157(lipoprotein metabolic process);GO:0045601(regulation of endothelial cell differentiation)",NA,NA,NA,"yes"
"21","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000001078","autophagy?"," endocytosis and endosomal transport","","SRL","sarcalumenin ",8.55,3.1,0,0,"up","GO:0002115(store-operated calcium entry);GO:0005525(GTP binding);GO:0014873(response to muscle activity involved in regulation of muscle adaptation)",NA,NA,NA,"yes"
"22","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000021307","mitophagy/autophagy","argets mitochondria and causes apoptotic changes, including loss of membrane potential and the release of cytochrome c.","","BNIP3L","BCL2 interacting protein 3 like ",3.32,1.73,0,0,"up","GO:0005634(nucleus);GO:0005635(nuclear envelope);GO:0005739(mitochondrion);GO:0005740(mitochondrial envelope);GO:0005741(mitochondrial outer membrane);GO:0005783(endoplasmic reticulum);GO:0006915(apoptotic process);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0035694(mitochondrial protein catabolic process);GO:0043065(positive regulation of apoptotic process);GO:0051607(defense response to virus);GO:0097345(mitochondrial outer membrane permeabilization)","04137(Mitophagy - animal)","K15465",NA,"yes"
"23","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000007431","autophagy?","autophagy?","endocytic vesicle; endoplasmic reticulum; and plasma membrane","CEMIP","cell migration inducing hyaluronidase 1 ",2.7,1.43,0,0,"up","GO:0004415(hyalurononglucosaminidase activity);GO:0005540(hyaluronic acid binding);GO:0005737(cytoplasm);GO:0005783(endoplasmic reticulum);GO:0005886(plasma membrane);GO:0007605(sensory perception of sound);GO:0010800(positive regulation of peptidyl-threonine phosphorylation);GO:0030214(hyaluronan catabolic process);GO:0030335(positive regulation of cell migration);GO:0030665(clathrin-coated vesicle membrane);GO:0032050(clathrin heavy chain binding);GO:0045334(clathrin-coated endocytic vesicle);GO:0046923(ER retention sequence binding);GO:0051281(positive regulation of release of sequestered calcium ion into cytosol);GO:0090314(positive regulation of protein targeting to membrane);GO:1900020(positive regulation of protein kinase C activity);GO:1900020(positive regulation of protein kinase C activity)",NA,"K19031","EC:3.2.1.35","yes"
"24","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000008625","autophagy"," positive regulation of autophagy","","PLEKHF1","pleckstrin homology and FYVE domain containing 1 ",2.62,1.39,0,0,"up","GO:0005764(lysosome);GO:0005768(endosome);GO:0007032(endosome organization);GO:0010314(phosphatidylinositol-5-phosphate binding);GO:0010508(positive regulation of autophagy);GO:0016050(vesicle organization);GO:0032266(phosphatidylinositol-3-phosphate binding);GO:0035091(phosphatidylinositol binding);GO:0046872(metal ion binding);GO:0070273(phosphatidylinositol-4-phosphate binding);GO:0072659(protein localization to plasma membrane);GO:2001244(positive regulation of intrinsic apoptotic signaling pathway)",NA,NA,NA,"yes"
